name,description,price,stockQuantity,categoryName,sku,model,brand,images,sizes,colors,tags,isFeatured,isNewArrival,isTrending,isBestSeller,details.material,details.supportType,details.pantyType,details.riseType,details.removablePads,details.ecoFriendly,details.oemOdm,details.sampleLeadTime,details.origin
"Deluxe Mesh Babydoll","A sultry, delicate mesh babydoll with adjustable straps and lace trim. Perfect for a romantic evening.",2499,85,"Sleepwear","BD-MESH-BLK-001","MBD-22A","BlashBerry","httpsa://placehold.co/400x400/AB1D79/ffffff?text=Babydoll,httpsa://placehold.co/400x400/AB1D79/ffffff?text=Mesh+View","S,M,L,XL","Black,Deep Blue,Red","Mesh,Sultry,Romantic",TRUE,TRUE,TRUE,FALSE,"Lace","Wireless","",,"FALSE","FALSE","TRUE","7 days","Zhejiang, China"
"Push-Up Lace Bra","Underwire push-up bra featuring premium floral lace and a deep plunge cut for maximum cleavage.",1899,120,"Bras","BRA-LACE-RED-002","PL-19B","BlashBerry","httpsa://placehold.co/400x400/D288B8/ffffff?text=PushUp+Bra","32B,34C,36C","Red,Black,White","Push-Up,Lace,Plunge",TRUE,TRUE,FALSE,TRUE,"Lace","Underwire","",,"TRUE","FALSE","FALSE","3 days","Zhejiang, China"
"Everyday Cotton Briefs (5-Pack)","Soft, breathable cotton briefs providing comfortable coverage for daily wear. Multipack value.",1199,350,"Panties","PAN-COT-SET-003","BCT-11","BlashBerry","httpsa://placehold.co/400x400/AB1D79/ffffff?text=Briefs,httpsa://placehold.co/400x400/AB1D79/ffffff?text=Multipack","S,M,L","Nude,White,Grey","Cotton,Comfort,Basic",FALSE,TRUE,FALSE,TRUE,"Cotton","","Briefs","Mid","FALSE","TRUE","FALSE","5 days","Guangdong, China"
"Elegant Silk Robe","A luxurious, floor-length silk robe with a sash closure. Ideal for elegant lounging.",3999,60,"Sleepwear","ROBE-SILK-004","ESR-33D","BlashBerry","httpsa://placehold.co/400x400/D288B8/ffffff?text=Silk+Robe","S/M,L/XL","Champagne,Emerald","Silk,Lounge,Luxury",TRUE,FALSE,TRUE,FALSE,"Silk","","","Low","FALSE","FALSE","TRUE","10 days","India"
"Sheer Floral G-String","Minimal coverage g-string with embroidered floral details. Sold individually.",699,180,"Panties","PAN-GSTR-005","SFG-44E","BlashBerry","httpsa://placehold.co/400x400/AB1D79/ffffff?text=GString","S,M,L","Pink,Black","Sheer,Floral,G-String",FALSE,FALSE,TRUE,FALSE,"Polyester","","G-String","Low","FALSE","FALSE","FALSE","3 days","Zhejiang, China"
"Balconette Lace Set","A sophisticated 2-piece set featuring a balconette bra and matching high-waist briefs.",2999,95,"Lingerie Sets","SET-BAL-006","LBS-55F","BlashBerry","httpsa://placehold.co/400x400/D288B8/ffffff?text=Lingerie+Set","34B,36B,38C","Wine Red,Black","Set,High-Waist,Balconette",TRUE,TRUE,TRUE,TRUE,"Lace","Underwire","Briefs","High","FALSE","FALSE","TRUE","7 days","Zhejiang, China"
"Wireless T-Shirt Bra","Smooth, seamless, and wireless bra for invisible support under tight clothing. Ultra comfortable.",1699,210,"Bras","BRA-TMRT-007","WTB-66G","BlashBerry","httpsa://placehold.co/400x400/AB1D79/ffffff?text=Wireless+Bra","32A,34B,36A","Nude,Black,White","Seamless,Wireless,Everyday",FALSE,TRUE,FALSE,TRUE,"Polyester","Wireless","","Demi","TRUE","FALSE","FALSE","5 days","Vietnam"
"High-Rise Boyshorts","Full-coverage boyshorts designed for a flattering high-rise fit. Stretchy microfiber fabric.",899,140,"Panties","PAN-BOY-008","HRB-77H","BlashBerry","httpsa://placehold.co/400x400/D288B8/ffffff?text=Boyshorts","M,L,XL","Purple,Grey","Boyshorts,High-Rise",FALSE,FALSE,FALSE,FALSE,"Spandex","","Boyshorts","High","FALSE","FALSE","FALSE","7 days","Guangdong, China"
"Bridal Satin Chemise","A white satin chemise with sheer side panels and delicate bow accents. Perfect wedding night wear.",4999,40,"Bridal Lingerie","CH-SAT-009","BSC-88I","BlashBerry","httpsa://placehold.co/400x400/AB1D79/ffffff?text=Chemise","S,M,L","White","Satin,Bridal,Luxury",TRUE,TRUE,FALSE,FALSE,"Silk","Wireless","",,"FALSE","FALSE","TRUE","10 days","Zhejiang, China"
"Convertible Strapless Bra","A versatile bra that can be worn strapless, halter, or crisscross. Essential wardrobe piece.",1999,110,"Bras","BRA-STRAP-010","CSB-99J","BlashBerry","httpsa://placehold.co/400x400/D288B8/ffffff?text=Strapless+Bra","34B,36A,38B","Nude,Black","Strapless,Convertible,Versatile",TRUE,FALSE,TRUE,FALSE,"Cotton","Underwire","",,"TRUE","FALSE","FALSE","5 days","Guangdong, China"
